 10991640686750 135      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640686750 135      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640686750 135      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640687000 135      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640688000 141      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640688000 141      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689000 141      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689000 141      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689000 141      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689000 141      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689250 141      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689500 135      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689500 135      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689500 135      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689500 135      Cache               Final BUSY_BLKD>RSD    [0xbcf0b140, line 0xbcf0b140] 
 10991640689750 139      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640689750 139      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640690750  21        Seq                Done       >       [0xbcf0b168, line 0xbcf0b140] 125 cycles
 10991640690750 139      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640690750 139      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640690750 139      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640690750 139      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640690750 139      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640690750 139      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640690750 139      Cache               Final BUSY_INTR>SD     [0xbcf0b140, line 0xbcf0b140] 
 10991640692750 141      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640692750 141      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640692750 141      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640692750 141      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640692750 141      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640692750 141      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640692750 141      Cache               Final BUSY_INTR>SD_RSD [0xbcf0b140, line 0xbcf0b140] 
 10991644076250   0        Seq               Begin       >       [0xbcf0b144, line 0xbcf0b140] LD
 10991644076500  66      Cache     AllocSeqRequest      I>I      [0xbcf0b140, line 0xbcf0b140] 
 10991644076500  66      Cache                Load      I>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644076500  66      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644076500  66      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991644077250  68      Cache        AllocRequest      I>I      [0xbcf0b140, line 0xbcf0b140] 
 10991644077250  68      Cache          ReadShared      I>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644077250  68      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
