 10475604553250 510      Cache     AllocSeqRequest      I>I      [0xbcf8fac0, line 0xbcf8fac0] 
 10475604553250 510      Cache                Load      I>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604553250 510      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604553250 510      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604554000 512      Cache        AllocRequest      I>I      [0xbcf8fac0, line 0xbcf8fac0] 
 10475604554000 512      Cache          ReadShared      I>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604554000 512      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604554250 512      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604554250 512      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604555500 506      Cache        AllocRequest      I>I      [0xbcf8fac0, line 0xbcf8fac0] 
 10475604555500 506      Cache          ReadShared      I>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604555500 506      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604555750 506      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604555750 506      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604559500  44      Cache        AllocRequest   RUSC>RUSC   [0xbcf8fac0, line 0xbcf8fac0] 
 10475604559500  44      Cache          ReadShared   RUSC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604559500  44      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604559750  44      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604559750  44      CacheSendSnpSharedFwdToSharer BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604559750  44      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604564500 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604564750 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604565000 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604565250 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604565500 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604565750 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566000 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566000 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566000 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566000 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566250 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566250 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566250 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566250 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] Resource Stall
 10475604566250 100      Cache          AllocSnoop    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] 
 10475604566250 100      Cache        SnpSharedFwd    RSC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604566250 100      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604566500 100      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604566500 100      Cache         SendSnpOnce BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604567750 106      Cache          AllocSnoop     SC>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475604567750 106      Cache             SnpOnce     SC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604567750 106      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604568000 106      Cache         SnpOncePipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604568000 106      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604568250 106      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604568250 106      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604568500 106      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604568500 106      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604568500 106      Cache               Final BUSY_BLKD>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475604574000 100      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604575000 100      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604575000 100      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604575000 100      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604575250 100      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604575250 100      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604575250 100      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604575250 100      Cache               Final BUSY_BLKD>RSC    [0xbcf8fac0, line 0xbcf8fac0] 
 10475604584250 506      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604584250 506      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604585500 506      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604585500 506      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604585500 506      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604585500 506      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604585750 506      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604586750 512      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604586750 512      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604587750 512      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604587750 512      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604587750 512      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604587750 512      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604588000  44      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604588000 506      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604588000 506      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604588000 506      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604588000 506      Cache               Final BUSY_INTR>RSC    [0xbcf8fac0, line 0xbcf8fac0] 
 10475604588000 512      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604588500 510      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604588500 510      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589250 512      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589250 512      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589250 512      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589250 512      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589250 512      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589250 512      Cache               Final BUSY_INTR>SC_RSC [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589500 127        Seq                Done       >       [0xbcf8faf8, line 0xbcf8fac0] 146 cycles
 10475604589500 510      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589500 510      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589500 510      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589500 510      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589500 510      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589500 510      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475604589500 510      Cache               Final BUSY_INTR>SC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475604640250  44      Cache SnpResp_SC_Fwded_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604640250  44      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604640250  44      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475604640250  44      Cache               Final BUSY_BLKD>RUSC   [0xbcf8fac0, line 0xbcf8fac0] 
 10475605149250 489      Cache      Local_Eviction     SC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475605149250 489      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475605149500 489      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
