 27101564003250 453      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564003250 453      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564003500 453      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004000 451      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004000 451      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004250 450      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004250 450      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004250 450      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004250 450      Cache               Final BUSY_INTR>RSC    [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004250 450      Cache          ReadShared    RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004250 450      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004500 450      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004500 450      Cache         SendSnpOnce BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 110        Seq                Done       >       [0x1f887b1dc, line 0x1f887b1c0] 146 cycles
 27101564005000 451      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 451      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 451      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 451      Cache            FillPipe BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 451      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 451      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 451      Cache               Final BUSY_INTR>SC     [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 453      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 453      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 453      Cache            FillPipe BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 453      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 453      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101564005000 453      Cache               Final BUSY_INTR>SC_RSC [0x1f887b1c0, line 0x1f887b1c0] 
 27101564007500   8      Cache SnpResp_SC_Fwded_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564007500   8      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564007500   8      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564007500   8      Cache               Final BUSY_BLKD>RUSC   [0x1f887b1c0, line 0x1f887b1c0] 
 27101564011500 453      Cache          AllocSnoop SC_RSC>SC_RSC [0x1f887b1c0, line 0x1f887b1c0] 
 27101564011500 453      Cache             SnpOnce SC_RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564011500 453      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564011750 453      Cache         SnpOncePipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564011750 453      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564012000 453      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564012000 453      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564012250 453      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564012250 453      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564012250 453      Cache               Final BUSY_BLKD>SC_RSC [0x1f887b1c0, line 0x1f887b1c0] 
 27101564013250 450      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564016500 450      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564016500 450      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564016500 450      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564016500 450      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564016750 450      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
