 32170988730250 365      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988730250 365      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988733750 359      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988734750 359      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988734750 359      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988734750 359      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988735000 359      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988735000 359      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988735000 359      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988735000 359      Cache               Final BUSY_BLKD>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170988744000 107      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988744000 107      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988744250  10      Cache SnpResp_SC_Fwded_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746250 107      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746250 107      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746250 107      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746250 107      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746500 107      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746750  10      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746750  10      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746750  10      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988746750  10      Cache               Final BUSY_BLKD>RUSC   [0xfbe6b240, line 0xfbe6b240] 
 32170988748750 110      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988748750 110      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988749750 110      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988749750 110      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988749750 110      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988749750 110      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988750000 107      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988750000 107      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988750000 107      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988750000 107      Cache               Final BUSY_INTR>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170988750000 110      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988750500 108      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988750500 108      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 110      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 110      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 110      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 110      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 110      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 110      Cache               Final BUSY_INTR>SC_RSC [0xfbe6b240, line 0xfbe6b240] 
 32170988751500  12        Seq                Done       >       [0xfbe6b268, line 0xfbe6b240] 141 cycles
 32170988751500 108      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 108      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 108      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 108      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 108      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988751500 108      Cache               Final BUSY_INTR>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988756250  12        Seq               Begin       >       [0xfbe6b268, line 0xfbe6b240] LD
 32170988756500 108      Cache     AllocSeqRequest     SC>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988756500 108      Cache                Load     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988756500 108      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988756500 108      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988756750  12        Seq                Done       >       [0xfbe6b268, line 0xfbe6b240] 2 cycles
