 10400107088500  10      CacheSendSnpSharedFwdToSharer BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107088500  10      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107093500 289      Cache          AllocSnoop    RSC>RSC    [0xbd92f240, line 0xbd92f240] 
 10400107093500 289      Cache        SnpSharedFwd    RSC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107093500 289      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107093750 289      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107093750 289      Cache         SendSnpOnce BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095000 292      Cache          AllocSnoop     SC>SC     [0xbd92f240, line 0xbd92f240] 
 10400107095000 292      Cache             SnpOnce     SC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095000 292      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095250 292      Cache         SnpOncePipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095250 292      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095500 292      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095500 292      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095750 292      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095750 292      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400107095750 292      Cache               Final BUSY_BLKD>SC     [0xbd92f240, line 0xbd92f240] 
 10400107100000 289      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
