Instantiated DTM.
Cyc=         96 Op1=[0x00000000] Op2=[0x0000000a] W[W, 2= 0x0000000a]   Mem[0: R:0x0a630080 W:0x00000000] PC= 0x800001ec    li      sp, 10
Cyc=         97 Op1=[0x80002007] Op2=[0x00000000] W[_, 0= 0x80002007]   Mem[0: R:0xffffffef W:0x0000000a] PC= 0x800001f0    sb      sp, 0(ra)
Cyc=         98 Op1=[0x80002007] Op2=[0x00000000] W[W,30= 0x0000000a]   Mem[1: R:0x0000000a W:0x00000000] PC= 0x800001f4    lb      t5, 0(ra)
Cyc=         99 Op1=[0x00000000] Op2=[0x0000000a] W[W,29= 0x0000000a]   Mem[0: R:0x0a630080 W:0x00000000] PC= 0x800001f8    li      t4, 10
Cyc=        100 Op1=[0x00000000] Op2=[0x00000009] W[W, 3= 0x00000009]   Mem[0: R:0x6300800f W:0x00000000] PC= 0x800001fc    li      gp, 9
Cyc=        101 Op1=[0x0000000a] Op2=[0x0000000a] W[_,16= 0x00000000]   Mem[0: R:0x04c0006f W:0x0000000a] PC= 0x80000200    bne     t5, t4, pc + 752
Cyc=        102 Op1=[0x00002000] Op2=[0x80000204] W[W, 1= 0x80002204]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000204    auipc   ra, 0x2
Cyc=        103 Op1=[0x80002204] Op2=[0xfffffe04] W[W, 1= 0x80002008]   Mem[0: R:0x0000efef W:0x00000000] PC= 0x80000208    addi    ra, ra, -508
Cyc=        104 Op1=[0x12345000] Op2=[0x00000009] W[W, 2= 0x12345000]   Mem[0: R:0x00000000 W:0x00000009] PC= 0x8000020c    lui     sp, 0x12345
Cyc=        105 Op1=[0x12345000] Op2=[0x00000678] W[W, 2= 0x12345678]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000210    addi    sp, sp, 1656
Cyc=        106 Op1=[0x80002008] Op2=[0xffffffe0] W[W, 4= 0x80001fe8]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000214    addi    tp, ra, -32
Cyc=        107 Op1=[0x80001fe8] Op2=[0x00000020] W[_, 0= 0x80002008]   Mem[0: R:0xffffffef W:0x12345678] PC= 0x80000218    sb      sp, 32(tp)
Cyc=        108 Op1=[0x80002008] Op2=[0x00000000] W[W, 5= 0x00000078]   Mem[1: R:0x00000078 W:0x00000000] PC= 0x8000021c    lb      t0, 0(ra)
Cyc=        109 Op1=[0x00000000] Op2=[0x00000078] W[W,29= 0x00000078]   Mem[0: R:0x01f00293 W:0x00000000] PC= 0x80000220    li      t4, 120
Cyc=        110 Op1=[0x00000000] Op2=[0x0000000a] W[W, 3= 0x0000000a]   Mem[0: R:0x0a630080 W:0x00000000] PC= 0x80000224    li      gp, 10
Cyc=        111 Op1=[0x00000078] Op2=[0x00000078] W[_, 8= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000078] PC= 0x80000228    bne     t0, t4, pc + 712
Cyc=        112 Op1=[0x00002000] Op2=[0x8000022c] W[W, 1= 0x8000222c]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x8000022c    auipc   ra, 0x2
Cyc=        113 Op1=[0x8000222c] Op2=[0xfffffddc] W[W, 1= 0x80002008]   Mem[0: R:0x0000ef78 W:0x00000000] PC= 0x80000230    addi    ra, ra, -548
Cyc=        114 Op1=[0x00003000] Op2=[0x00000000] W[W, 2= 0x00003000]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000234    lui     sp, 0x3
Cyc=        115 Op1=[0x00003000] Op2=[0x00000098] W[W, 2= 0x00003098]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000238    addi    sp, sp, 152
Cyc=        116 Op1=[0x80002008] Op2=[0xfffffffa] W[W, 1= 0x80002002]   Mem[0: R:0x00aa0aa0 W:0x00000000] PC= 0x8000023c    addi    ra, ra, -6
Cyc=        117 Op1=[0x80002002] Op2=[0x00000007] W[_, 7= 0x80002009]   Mem[0: R:0xffffffef W:0x00003098] PC= 0x80000240    sb      sp, 7(ra)
Cyc=        118 Op1=[0x00002000] Op2=[0x80000244] W[W, 4= 0x80002244]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000244    auipc   tp, 0x2
Cyc=        119 Op1=[0x80002244] Op2=[0xfffffdc5] W[W, 4= 0x80002009]   Mem[0: R:0x00000098 W:0x00000078] PC= 0x80000248    addi    tp, tp, -571
Cyc=        120 Op1=[0x80002009] Op2=[0x00000000] W[W, 5= 0xffffff98]   Mem[1: R:0xffffff98 W:0x00000000] PC= 0x8000024c    lb      t0, 0(tp)
Cyc=        121 Op1=[0x00000000] Op2=[0xffffff98] W[W,29= 0xffffff98]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000250    li      t4, -104
Cyc=        122 Op1=[0x00000000] Op2=[0x0000000b] W[W, 3= 0x0000000b]   Mem[0: R:0xff0a6300 W:0x00000000] PC= 0x80000254    li      gp, 11
Cyc=        123 Op1=[0xffffff98] Op2=[0xffffff98] W[_,24= 0x00000000]   Mem[0: R:0x04c0006f W:0xffffff98] PC= 0x80000258    bne     t0, t4, pc + 664
Cyc=        124 Op1=[0x00000000] Op2=[0x0000000c] W[W, 3= 0x0000000c]   Mem[0: R:0x03ff0a63 W:0x00000000] PC= 0x8000025c    li      gp, 12
Cyc=        125 Op1=[0x00000000] Op2=[0x00000000] W[W, 4= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x80000260    li      tp, 0
Cyc=        126 Op1=[0x00000000] Op2=[0xffffffdd] W[W, 1= 0xffffffdd]   Mem[0: R:0x00000000 W:0xffffff98] PC= 0x80000264    li      ra, -35
Cyc=        127 Op1=[0x00002000] Op2=[0x80000268] W[W, 2= 0x80002268]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000268    auipc   sp, 0x2
Cyc=        128 Op1=[0x80002268] Op2=[0xfffffd98] W[W, 2= 0x80002000]   Mem[0: R:0x0aa000aa W:0x00000000] PC= 0x8000026c    addi    sp, sp, -616
Cyc=        129 Op1=[0x80002000] Op2=[0x00000000] W[_, 0= 0x80002000]   Mem[0: R:0xffffffaa W:0xffffffdd] PC= 0x80000270    sb      ra, 0(sp)
Cyc=        130 Op1=[0x80002000] Op2=[0x00000000] W[W,30= 0xffffffdd]   Mem[1: R:0xffffffdd W:0x00000000] PC= 0x80000274    lb      t5, 0(sp)
Cyc=        131 Op1=[0x00000000] Op2=[0xffffffdd] W[W,29= 0xffffffdd]   Mem[0: R:0x00000000 W:0xffffff98] PC= 0x80000278    li      t4, -35
Cyc=        132 Op1=[0xffffffdd] Op2=[0xffffffdd] W[_,20= 0x00000000]   Mem[0: R:0x04c0006f W:0xffffffdd] PC= 0x8000027c    bne     t5, t4, pc + 628
Cyc=        133 Op1=[0x00000000] Op2=[0x00000001] W[W, 4= 0x00000001]   Mem[0: R:0x7304c000 W:0xffffffdd] PC= 0x80000280    addi    tp, tp, 1
Cyc=        134 Op1=[0x00000000] Op2=[0x00000002] W[W, 5= 0x00000002]   Mem[0: R:0x2f7304c0 W:0x80002000] PC= 0x80000284    li      t0, 2
Cyc=        135 Op1=[0x00000001] Op2=[0x00000002] W[_,29= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000002] PC= 0x80000288  B bne     tp, t0, pc - 36
Cyc=        136 Op1=[0x00000000] Op2=[0xffffffdd] W[W, 1= 0xffffffdd]   Mem[0: R:0x00000000 W:0xffffffdd] PC= 0x80000264    li      ra, -35
Cyc=        137 Op1=[0x00002000] Op2=[0x80000268] W[W, 2= 0x80002268]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000268    auipc   sp, 0x2
Cyc=        138 Op1=[0x80002268] Op2=[0xfffffd98] W[W, 2= 0x80002000]   Mem[0: R:0x0aa000dd W:0x00000000] PC= 0x8000026c    addi    sp, sp, -616
Cyc=        139 Op1=[0x80002000] Op2=[0x00000000] W[_, 0= 0x80002000]   Mem[0: R:0xffffffdd W:0xffffffdd] PC= 0x80000270    sb      ra, 0(sp)
Cyc=        140 Op1=[0x80002000] Op2=[0x00000000] W[W,30= 0xffffffdd]   Mem[1: R:0xffffffdd W:0x00000000] PC= 0x80000274    lb      t5, 0(sp)
Cyc=        141 Op1=[0x00000000] Op2=[0xffffffdd] W[W,29= 0xffffffdd]   Mem[0: R:0x00000000 W:0xffffffdd] PC= 0x80000278    li      t4, -35
Cyc=        142 Op1=[0xffffffdd] Op2=[0xffffffdd] W[_,20= 0x00000000]   Mem[0: R:0x04c0006f W:0xffffffdd] PC= 0x8000027c    bne     t5, t4, pc + 628
Cyc=        143 Op1=[0x00000001] Op2=[0x00000001] W[W, 4= 0x00000002]   Mem[0: R:0x2f7304c0 W:0xffffffdd] PC= 0x80000280    addi    tp, tp, 1
Cyc=        144 Op1=[0x00000000] Op2=[0x00000002] W[W, 5= 0x00000002]   Mem[0: R:0x2f7304c0 W:0x80002000] PC= 0x80000284    li      t0, 2
Cyc=        145 Op1=[0x00000002] Op2=[0x00000002] W[_,29= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000002] PC= 0x80000288    bne     tp, t0, pc - 36
Cyc=        146 Op1=[0x00000000] Op2=[0x0000000d] W[W, 3= 0x0000000d]   Mem[0: R:0x9303ff0a W:0x00000000] PC= 0x8000028c    li      gp, 13
Cyc=        147 Op1=[0x00000000] Op2=[0x00000000] W[W, 4= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x80000290    li      tp, 0
Cyc=        148 Op1=[0x00000000] Op2=[0xffffffcd] W[W, 1= 0xffffffcd]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000294    li      ra, -51
Cyc=        149 Op1=[0x00002000] Op2=[0x80000298] W[W, 2= 0x80002298]   Mem[0: R:0x00000000 W:0x00000000] PC= 0x80000298    auipc   sp, 0x2
Cyc=        150 Op1=[0x80002298] Op2=[0xfffffd68] W[W, 2= 0x80002000]   Mem[0: R:0x0aa000dd W:0x00000000] PC= 0x8000029c    addi    sp, sp, -664
Cyc=        151 Op1=[0x00000000] Op2=[0x00000000] W[W, 0= 0x00000000]   Mem[0: R:0x04c0006f W:0x00000000] PC= 0x800002a0    nop
Cyc=        152 Op1=[0x80002000] Op2=[0x00000001] W[_, 1= 0x80002001]   Mem[0: R:0x00000000 W:0xffffffcd] PC= 0x800002a4    sb      ra, 1(sp)
